B01001,Sex By Age
B01001A,Sex By Age (White Alone)
B01001B,Sex By Age (Black Or African American Alone)
B01001C,Sex By Age (American Indian And Alaska Native Alone)
B01001D,Sex By Age (Asian Alone)
B01001E,Sex By Age (Native Hawaiian And Other Pacific Islander Alone)
B01001F,Sex By Age (Some Other Race Alone)
B01001G,Sex By Age (Two Or More Races)
B01001H,"Sex By Age (White Alone, Not Hispanic Or Latino)"
B01001I,Sex By Age (Hispanic Or Latino)
B01002,Median Age By Sex
B01003,Total Population
B02001,Race
B03001,Hispanic Or Latino Origin By Specific Origin
B03002,Hispanic Or Latino Origin By Race
B03003,Hispanic Or Latino Origin
B04007,Ancestry
B05001,Nativity And Citizenship Status In The United States
B05002,Place Of Birth By Nativity And Citizenship Status
B05011,Period Of Naturalization
B05012,Nativity In The United States
B06001,Place Of Birth By Age In The United States
B07001,Geographical Mobility In The Past Year By Age For Current Residence In The United States
B07004A,Geographical Mobility In The Past Year (White Alone) For Current Residence In The United States
B07004B,Geographical Mobility In The Past Year (Black Or African American Alone) For Current Residence In The United States
B07004C,Geographical Mobility In The Past Year (American Indian And Alaska Native Alone) For Current Residence In The United States
B07004D,Geographical Mobility In The Past Year (Asian Alone) For Current Residence In The United States
B07004E,Geographical Mobility In The Past Year (Native Hawaiian And Other Pacific Islander Alone) For Current Residence In The United States
B07004F,Geographical Mobility In The Past Year (Some Other Race Alone) For Current Residence In The United States
B07004G,Geographical Mobility In The Past Year (Two Or More Races) For Current Residence In The United States
B07004H,"Geographical Mobility In The Past Year (White Alone, Not Hispanic Or Latino) For Current Residence In The United States"
B07004I,Geographical Mobility In The Past Year (Hispanic Or Latino) For Current Residence In The United States
B07009,Geographical Mobility In The Past Year By Educational Attainment For Current Residence In The United States
B07010,Geographical Mobility In The Past Year By Individual Income In The Past 12 Months (In 2012 Inflation-Adjusted Dollars) For Current Residence In The United States
B07011,Median Income In The Past 12 Months (In 2012 Inflation-Adjusted Dollars) By Geographical Mobility In The Past Year For Current Residence In The United States
B07012,Geographical Mobility In The Past Year By Poverty Status In The Past 12 Months For Current Residence In The United States
B07410,Geographical Mobility In The Past Year By Individual Income In The Past 12 Months (In 2012 Inflation-Adjusted Dollars) For Residence 1 Year Ago In The United States
B07411,Median Income In The Past 12 Months (In 2012 Inflation-Adjusted Dollars) By Geographical Mobility In The Past Year For Residence 1 Year Ago In The United States
