ORDER,Coded Title,Lay Title,Length
3755,merge00,,0
3756,zip,,0
3757,obama08,,0
3758,mccain,,0
3759,fips,,0
3760,obama12,,0
3761,romney,,0
3846,merge3,,0
3848,merge_cw,,0
3851,_merge,,0
2,GEOID,GEOID,5
136,B01001_002E,Male:,5
185,B01001A_002E,Male:,5
216,B01001B_002E,Male:,5
247,B01001C_002E,Male:,5
278,B01001D_002E,Male:,5
309,B01001E_002E,Male:,5
340,B01001F_002E,Male:,5
371,B01001G_002E,Male:,5
402,B01001H_002E,Male:,5
433,B01001I_002E,Male:,5
463,B01003_001E,Total,5
1248,B12001_002E,Male:,5
1267,B12002A_002E,Male:,5
1280,B12002B_002E,Male:,5
1293,B12002C_002E,Male:,5
1306,B12002D_002E,Male:,5
1319,B12002E_002E,Male:,5
1332,B12002F_002E,Male:,5
1345,B12002G_002E,Male:,5
1358,B12002H_002E,Male:,5
1371,B12002I_002E,Male:,5
1384,B12501_002E,Male:,5
1395,B12503_002E,Male:,5
1418,B14004_002E,Male:,5
1641,B15001_002E,Male:,5
1724,B15002_002E,Male:,5
3222,B24080_002E,Male:,5
3363,B27001_002E,Male:,5
3439,C15002A_002E,Male:,5
3450,C15002B_002E,Male:,5
3461,C15002C_002E,Male:,5
3472,C15002D_002E,Male:,5
3483,C15002E_002E,Male:,5
3494,C15002F_002E,Male:,5
3505,C15002G_002E,Male:,5
3516,C15002H_002E,Male:,5
3527,C15002I_002E,Male:,5
3733,C27004_002E,Male:,5
3,B17001_001E,Total:,6
70,B17016_001E,Total:,6
127,B19019_001E,Total:,6
135,B01001_001E,Total:,6
184,B01001A_001E,Total:,6
215,B01001B_001E,Total:,6
246,B01001C_001E,Total:,6
277,B01001D_001E,Total:,6
308,B01001E_001E,Total:,6
339,B01001F_001E,Total:,6
370,B01001G_001E,Total:,6
401,B01001H_001E,Total:,6
432,B01001I_001E,Total:,6
464,B02001_001E,Total:,6
477,B03001_001E,Total:,6
508,B03002_001E,Total:,6
529,B03003_001E,Total:,6
532,B04007_001E,Total:,6
539,B05001_001E,Total:,6
545,B05002_001E,Total:,6
560,B05011_001E,Total:,6
571,B05012_001E,Total:,6
572,B05012_002E,Native,6
574,B06001_001E,Total:,6
634,B07001_001E,Total:,6
730,B07004A_001E,Total:,6
736,B07004B_001E,Total:,6
742,B07004C_001E,Total:,6
748,B07004D_001E,Total:,6
754,B07004E_001E,Total:,6
760,B07004F_001E,Total:,6
766,B07004G_001E,Total:,6
772,B07004H_001E,Total:,6
778,B07004I_001E,Total:,6
784,B07009_001E,Total:,6
820,B07010_001E,Total:,6
892,B07012_001E,Total:,6
941,B09001_001E,Total:,6
951,B09002_001E,Total:,6
971,B09005_001E,Total:,6
977,B09010_001E,Total:,6
990,B11001_001E,Total:,6
999,B11001A_001E,Total:,6
1008,B11001B_001E,Total:,6
1017,B11001C_001E,Total:,6
1026,B11001D_001E,Total:,6
1035,B11001E_001E,Total:,6
1044,B11001F_001E,Total:,6
1053,B11001G_001E,Total:,6
1062,B11001H_001E,Total:,6
1071,B11001I_001E,Total:,6
1080,B11002_001E,Total:,6
1092,B11002A_001E,Total:,6
1104,B11002B_001E,Total:,6
1116,B11002C_001E,Total:,6
1129,B11002D_001E,Total:,6
1141,B11002E_001E,Total:,6
1153,B11002F_001E,Total:,6
1165,B11002G_001E,Total:,6
1177,B11002H_001E,Total:,6
1189,B11002I_001E,Total:,6
1201,B11003_001E,Total:,6
1221,B11009_001E,Total:,6
1228,B11016_001E,Total:,6
1244,B11017_001E,Total:,6
1247,B12001_001E,Total:,6
1266,B12002A_001E,Total:,6
1279,B12002B_001E,Total:,6
1292,B12002C_001E,Total:,6
1305,B12002D_001E,Total:,6
1318,B12002E_001E,Total:,6
1331,B12002F_001E,Total:,6
1344,B12002G_001E,Total:,6
1357,B12002H_001E,Total:,6
1370,B12002I_001E,Total:,6
1383,B12501_001E,Total:,6
1394,B12503_001E,Total:,6
1407,B14001_001E,Total:,6
1417,B14004_001E,Total:,6
1450,B14007_001E,Total:,6
1469,B14007A_001E,Total:,6
1488,B14007B_001E,Total:,6
1507,B14007C_001E,Total:,6
1526,B14007D_001E,Total:,6
1545,B14007E_001E,Total:,6
1564,B14007F_001E,Total:,6
1583,B14007G_001E,Total:,6
1602,B14007H_001E,Total:,6
1621,B14007I_001E,Total:,6
1640,B15001_001E,Total:,6
1723,B15002_001E,Total:,6
1758,B15003_001E,Total:,6
1783,B16002_001E,Total:,6
1797,B19051_001E,Total:,6
1800,B19052_001E,Total:,6
1803,B19053_001E,Total:,6
1806,B19054_001E,Total:,6
1809,B19055_001E,Total:,6
1812,B19056_001E,Total:,6
1815,B19057_001E,Total:,6
1818,B19058_001E,Total:,6
1821,B19059_001E,Total:,6
1824,B19060_001E,Total:,6
1827,B19001_001E,Total:,6
1844,B19001A_001E,Total:,6
1861,B19001B_001E,Total:,6
1878,B19001C_001E,Total:,6
1895,B19001D_001E,Total:,6
1912,B19001E_001E,Total:,6
1929,B19001F_001E,Total:,6
1946,B19001G_001E,Total:,6
1963,B19001H_001E,Total:,6
1980,B19001I_001E,Total:,6
1997,B17001A_001E,Total:,6
2056,B17001B_001E,Total:,6
2115,B17001C_001E,Total:,6
2175,B17001D_001E,Total:,6
2234,B17001E_001E,Total:,6
2293,B17001F_001E,Total:,6
2352,B17001G_001E,Total:,6
2411,B17001H_001E,Total:,6
2470,B17001I_001E,Total:,6
2529,B17003_001E,Total:,6
2552,B17020A_001E,Total:,6
2569,B17020B_001E,Total:,6
2586,B17020C_001E,Total:,6
2603,B17020D_001E,Total:,6
2620,B17020E_001E,Total:,6
2637,B17020F_001E,Total:,6
2654,B17020G_001E,Total:,6
2671,B17020H_001E,Total:,6
2688,B17020I_001E,Total:,6
2705,B17026_001E,Total:,6
2736,B19101_001E,Total:,6
2753,B19101A_001E,Total:,6
2770,B19101B_001E,Total:,6
2787,B19101C_001E,Total:,6
2804,B19101D_001E,Total:,6
2821,B19101E_001E,Total:,6
2838,B19101F_001E,Total:,6
2855,B19101G_001E,Total:,6
2872,B19101H_001E,Total:,6
2889,B19101I_001E,Total:,6
2916,B19119_001E,Total:,6
2923,B19131_001E,Total:,6
3041,B22002_001E,Total:,6
3068,B22003_001E,Total:,6
3075,B22005A_001E,Total:,6
3078,B22005B_001E,Total:,6
3081,B22005C_001E,Total:,6
3084,B22005D_001E,Total:,6
3087,B22005E_001E,Total:,6
3090,B22005F_001E,Total:,6
3093,B22005G_001E,Total:,6
3096,B22005H_001E,Total:,6
3099,B22005I_001E,Total:,6
3102,B22007_001E,Total:,6
3145,B23006_001E,Total:,6
3178,B23025_001E,Total:,6
3185,B24011_001E,Total:,6
3221,B24080_001E,Total:,6
3242,B25003_001E,Total:,6
3245,B25034_001E,Total:,6
3257,B25070_001E,Total:,6
3268,B25075_001E,Total:,6
3299,B25104_001E,Total:,6
3315,B25106_001E,Total:,6
3361,B26001_001E,Total:,6
3362,B27001_001E,Total:,6
3419,C02003_001E,Total:,6
3438,C15002A_001E,Total:,6
3449,C15002B_001E,Total:,6
3460,C15002C_001E,Total:,6
3471,C15002D_001E,Total:,6
3482,C15002E_001E,Total:,6
3493,C15002F_001E,Total:,6
3504,C15002G_001E,Total:,6
3515,C15002H_001E,Total:,6
3526,C15002I_001E,Total:,6
3537,C17002_001E,Total:,6
3545,C18108_001E,Total:,6
3558,C24050_001E,Total:,6
3642,C27001A_001E,Total:,6
3652,C27001B_001E,Total:,6
3662,C27001C_001E,Total:,6
3672,C27001D_001E,Total:,6
3682,C27001E_001E,Total:,6
3692,C27001F_001E,Total:,6
3702,C27001G_001E,Total:,6
3712,C27001H_001E,Total:,6
3722,C27001I_001E,Total:,6
3732,C27004_001E,Total:,6
160,B01001_026E,Female:,7
200,B01001A_017E,Female:,7
231,B01001B_017E,Female:,7
262,B01001C_017E,Female:,7
293,B01001D_017E,Female:,7
324,B01001E_017E,Female:,7
355,B01001F_017E,Female:,7
386,B01001G_017E,Female:,7
417,B01001H_017E,Female:,7
448,B01001I_017E,Female:,7
546,B05002_002E,Native:,7
1257,B12001_011E,Female:,7
1273,B12002A_008E,Female:,7
1286,B12002B_008E,Female:,7
1299,B12002C_008E,Female:,7
1312,B12002D_008E,Female:,7
1325,B12002E_008E,Female:,7
1338,B12002F_008E,Female:,7
1351,B12002G_008E,Female:,7
1364,B12002H_008E,Female:,7
1377,B12002I_008E,Female:,7
1389,B12501_007E,Female:,7
1400,B12503_007E,Female:,7
1434,B14004_018E,Female:,7
1682,B15001_043E,Female:,7
1741,B15002_019E,Female:,7
3232,B24080_012E,Female:,7
3391,B27001_030E,Female:,7
3444,C15002A_007E,Female:,7
3455,C15002B_007E,Female:,7
3466,C15002C_007E,Female:,7
3477,C15002D_007E,Female:,7
3488,C15002E_007E,Female:,7
3499,C15002F_007E,Female:,7
3510,C15002G_007E,Female:,7
3521,C15002H_007E,Female:,7
3532,C15002I_007E,Female:,7
3743,C27004_012E,Female:,7
1785,B16002_003E,Spanish:,8
821,B07010_002E,No income,9
1762,B15003_005E,1st grade,9
1763,B15003_006E,2nd grade,9
1764,B15003_007E,3rd grade,9
1765,B15003_008E,4th grade,9
1766,B15003_009E,5th grade,9
1767,B15003_010E,6th grade,9
1768,B15003_011E,7th grade,9
1769,B15003_012E,8th grade,9
1770,B15003_013E,9th grade,9
2706,B17026_002E,Under .50,9
3538,C17002_002E,Under .50,9
1771,B15003_014E,10th grade,10
1772,B15003_015E,11th grade,10
2707,B17026_003E,.50 to .74,10
2708,B17026_004E,.75 to .99,10
2735,B19083_001E,Gini Index,10
3539,C17002_003E,.50 to .99,10
3775,RAPE,RAPES (02),10
3784,FRAUD,FRAUD (11),10
3820,state_id,State Name,10
465,B02001_002E,White alone,11
468,B02001_005E,Asian alone,11
925,B07412_005E,Same house:,11
1799,B19051_003E,No earnings,11
3565,C24050_008E,Information,11
3770,GRNDTOT,GRAND TOTAL,11
3781,ARSON,ARSONS (09),11
3817,county_name,County Name,11
573,B05012_003E,Foreign-Born,12
635,B07001_002E,1 to 4 years,12
822,B07010_003E,With income:,12
1761,B15003_004E,Kindergarten,12
1784,B16002_002E,English only,12
2709,B17026_005E,1.00 to 1.24,12
2710,B17026_006E,1.25 to 1.49,12
2711,B17026_007E,1.50 to 1.74,12
2712,B17026_008E,1.75 to 1.84,12
2713,B17026_009E,1.85 to 1.99,12
2714,B17026_010E,2.00 to 2.99,12
2715,B17026_011E,3.00 to 3.99,12
2716,B17026_012E,4.00 to 4.99,12
3267,B25070_011E,Not computed,12
3301,B25104_003E,$100 to $199,12
3302,B25104_004E,$200 to $299,12
3303,B25104_005E,$300 to $399,12
3304,B25104_006E,$400 to $499,12
3305,B25104_007E,$500 to $599,12
3306,B25104_008E,$600 to $699,12
3307,B25104_009E,$700 to $799,12
3308,B25104_010E,$800 to $899,12
3309,B25104_011E,$900 to $999,12
3313,B25104_015E,No cash rent,12
3540,C17002_004E,1.00 to 1.24,12
3541,C17002_005E,1.25 to 1.49,12
3542,C17002_006E,1.50 to 1.84,12
3543,C17002_007E,1.85 to 1.99,12
3560,C24050_003E,Construction,12
3563,C24050_006E,Retail trade,12
3771,P1TOT,PART 1-TOTAL,12
67,B17011_003E,Other family:,13
557,B05002_013E,Foreign born:,13
575,B06001_002E,Under 5 years,13
576,B06001_003E,5 to 17 years,13
622,B06001_049E,Foreign born:,13
636,B07001_003E,5 to 17 years,13
1208,B11003_008E,Other family:,13
1798,B19051_002E,With earnings,13
2717,B17026_013E,5.00 and over,13
2728,B19081_006E,Top 5 Percent,13
2734,B19082_006E,Top 5 Percent,13
2959,B19131_037E,Other family:,13
3544,C17002_008E,2.00 and over,13
3561,C24050_004E,Manufacturing,13
3774,MURDER,MURDERS (011),13
3811,VAGRANT,VAGRANCY (25),13
1,variable name,variable label,14
577,B06001_004E,18 to 24 years,14
578,B06001_005E,25 to 34 years,14
579,B06001_006E,35 to 44 years,14
580,B06001_007E,45 to 54 years,14
581,B06001_008E,55 to 59 years,14
583,B06001_010E,62 to 64 years,14
584,B06001_011E,65 to 74 years,14
638,B07001_005E,20 to 24 years,14
639,B07001_006E,25 to 29 years,14
