zip,county,pop
36008,1001,54590
36749,1001,54590
36022,1001,54590
36003,1001,54590
36066,1001,54590
36068,1001,54590
36091,1001,54590
36006,1001,54590
36703,1001,54590
36067,1001,54590
36051,1001,54590
36758,1001,54590
36555,1003,183226
36547,1003,183226
36550,1003,183226
36567,1003,183226
36574,1003,183226
36559,1003,183226
36526,1003,183226
36561,1003,183226
36578,1003,183226
36536,1003,183226
36532,1003,183226
36564,1003,183226
36580,1003,183226
36577,1003,183226
36507,1003,183226
36562,1003,183226
36533,1003,183226
36511,1003,183226
36549,1003,183226
36579,1003,183226
36527,1003,183226
36551,1003,183226
36576,1003,183226
36535,1003,183226
36542,1003,183226
36502,1003,183226
36530,1003,183226
36311,1005,27469
36317,1005,27469
36048,1005,27469
36017,1005,27469
36027,1005,27469
36374,1005,27469
36016,1005,27469
36053,1005,27469
35034,1007,22769
35042,1007,22769
35456,1007,22769
35111,1007,22769
36793,1007,22769
35115,1007,22769
35184,1007,22769
35035,1007,22769
36750,1007,22769
35074,1007,22769
35188,1007,22769
36792,1007,22769
35126,1009,57466
35049,1009,57466
35172,1009,57466
35016,1009,57466
35097,1009,57466
35146,1009,57466
35121,1009,57466
35063,1009,57466
35079,1009,57466
35952,1009,57466
35180,1009,57466
35013,1009,57466
35957,1009,57466
35133,1009,57466
35031,1009,57466
35980,1009,57466
35976,1009,57466
36052,1011,10779
36031,1011,10779
36053,1011,10779
36089,1011,10779
36029,1011,10779
36005,1011,10779
36037,1013,20730
36042,1013,20730
36032,1013,20730
36030,1013,20730
36456,1013,20730
36033,1013,20730
36015,1013,20730
36071,1013,20730
36203,1015,117834
36277,1015,117834
36201,1015,117834
36206,1015,117834
36260,1015,117834
36272,1015,117834
36202,1015,117834
36250,1015,117834
36279,1015,117834
35905,1015,117834
35096,1015,117834
36254,1015,117834
36257,1015,117834
36265,1015,117834
36253,1015,117834
36205,1015,117834
36207,1015,117834
36204,1015,117834
36271,1015,117834
36854,1017,34228
36850,1017,34228
36801,1017,34228
36879,1017,34228
36276,1017,34228
36855,1017,34228
36862,1017,34228
36852,1017,34228
36863,1017,34228
36274,1017,34228
36272,1019,25917
35973,1019,25917
35959,1019,25917
35960,1019,25917
35901,1019,25917
35967,1019,25917
35903,1019,25917
36275,1019,25917
35983,1019,25917
35984,1019,25917
35961,1019,25917
36091,1021,43611
36758,1021,43611
35171,1021,43611
35045,1021,43611
35046,1021,43611
36750,1021,43611
36792,1021,43611
36793,1021,43611
36051,1021,43611
36790,1021,43611
35040,1021,43611
35085,1021,43611
35115,1021,43611
36006,1021,43611
36913,1023,13838
36922,1023,13838
36910,1023,13838
36908,1023,13838
36904,1023,13838
36921,1023,13838
36915,1023,13838
36919,1023,13838
36916,1023,13838
36912,1023,13838
36727,1025,25768
36540,1025,25768
36545,1025,25768
36524,1025,25768
36784,1025,25768
36451,1025,25768
36436,1025,25768
36482,1025,25768
36446,1025,25768
36267,1027,13828
36268,1027,13828
36276,1027,13828
36251,1027,13828
35072,1027,13828
36266,1027,13828
35160,1027,13828
35082,1027,13828
36255,1027,13828
36258,1027,13828
36256,1027,13828
36258,1029,14905
36261,1029,14905
36268,1029,14905
36269,1029,14905
36207,1029,14905
36272,1029,14905
36273,1029,14905
36262,1029,14905
36264,1029,14905
36477,1031,49966
36351,1031,49966
36010,1031,49966
36346,1031,49966
36323,1031,49966
36009,1031,49966
36034,1031,49966
36079,1031,49966
36453,1031,49966
36318,1031,49966
36330,1031,49966
36311,1031,49966
36322,1031,49966
36316,1031,49966
36467,1031,49966
35661,1033,54451
35660,1033,54451
35582,1033,54451
35646,1033,54451
35672,1033,54451
35674,1033,54451
35616,1033,54451
35653,1033,54451
35654,1033,54451
36033,1035,13188
36475,1035,13188
36473,1035,13188
36454,1035,13188
36426,1035,13188
36460,1035,13188
36401,1035,13188
36471,1035,13188
36429,1035,13188
36502,1035,13188
36432,1035,13188
35183,1037,11305
35089,1037,11305
36080,1037,11305
35010,1037,11305
35136,1037,11305
35150,1037,11305
35046,1037,11305
35072,1037,11305
36026,1037,11305
35151,1037,11305
36467,1039,37803
36477,1039,37803
36483,1039,37803
36421,1039,37803
36474,1039,37803
36453,1039,37803
36038,1039,37803
36028,1039,37803
36420,1039,37803
36455,1039,37803
36476,1039,37803
36442,1039,37803
36467,1041,13971
36042,1041,13971
36034,1041,13971
36009,1041,13971
36041,1041,13971
36071,1041,13971
36323,1041,13971
36028,1041,13971
36049,1041,13971
36036,1041,13971
36035,1041,13971
36037,1041,13971
36046,1041,13971
35098,1043,80403
35016,1043,80403
35057,1043,80403
35541,1043,80403
35540,1043,80403
35976,1043,80403
35619,1043,80403
35033,1043,80403
35179,1043,80403
35056,1043,80403
35083,1043,80403
35055,1043,80403
35053,1043,80403
35070,1043,80403
35077,1043,80403
35058,1043,80403
35621,1043,80403
35087,1043,80403
35622,1043,80403
35019,1043,80403
36371,1045,50129
36353,1045,50129
36352,1045,50129
36345,1045,50129
36360,1045,50129
36374,1045,50129
36322,1045,50129
36303,1045,50129
36350,1045,50129
36311,1045,50129
36317,1045,50129
36330,1045,50129
36362,1045,50129
36775,1047,43572
36758,1047,43572
36767,1047,43572
36703,1047,43572
36761,1047,43572
36773,1047,43572
36759,1047,43572
36785,1047,43572
36749,1047,43572
36701,1047,43572
35984,1049,70949
35989,1049,70949
35979,1049,70949
35968,1049,70949
35765,1049,70949
35963,1049,70949
35954,1049,70949
35975,1049,70949
35966,1049,70949
35978,1049,70949
35956,1049,70949
35962,1049,70949
35988,1049,70949
35974,1049,70949
35971,1049,70949
35981,1049,70949
35967,1049,70949
35951,1049,70949
35771,1049,70949
35959,1049,70949
35986,1049,70949
35961,1049,70949
35957,1049,70949
35983,1049,70949
36022,1051,79330
36078,1051,79330
36080,1051,79330
36026,1051,79330
35010,1051,79330
36092,1051,79330
36025,1051,79330
36020,1051,79330
36054,1051,79330
36051,1051,79330
36066,1051,79330
36093,1051,79330
36024,1051,79330
36502,1053,38122
36420,1053,38122
36432,1053,38122
36503,1053,38122
36426,1053,38122
36483,1053,38122
36562,1053,38122
36441,1053,38122
36543,1053,38122
35957,1055,104317
35121,1055,104317
35903,1055,104317
35952,1055,104317
35956,1055,104317
35904,1055,104317
35907,1055,104317
35954,1055,104317
35961,1055,104317
36271,1055,104317
36272,1055,104317
35972,1055,104317
35906,1055,104317
35901,1055,104317
35990,1055,104317
35905,1055,104317
35542,1057,17219
35549,1057,17219
35594,1057,17219
35546,1057,17219
35563,1057,17219
35555,1057,17219
35574,1057,17219
35545,1057,17219
35554,1057,17219
35559,1057,17219
35564,1059,31664
35653,1059,31664
35654,1059,31664
35582,1059,31664
